Id,Gameweek no,Start date,Start time,Fixtures,Created at,Updated at
10,9,"October 13, 2012",15:00,10,"June 16, 2012 14:17","June 16, 2012 14:17"
9,9,"October 13, 2012",15:00,10,"June 16, 2012 14:17","June 16, 2012 14:17"
8,8,"October 06, 2012",15:00,10,"June 16, 2012 14:16","June 16, 2012 14:16"
7,7,"September 29, 2012",15:00,10,"June 16, 2012 14:16","June 16, 2012 14:16"
6,6,"September 22, 2012",15:00,10,"June 16, 2012 14:16","June 16, 2012 14:16"
5,5,"September 15, 2012",15:00,10,"June 16, 2012 14:15","June 16, 2012 14:15"
4,4,"September 08, 2012",15:00,10,"June 16, 2012 14:15","June 16, 2012 14:15"
3,3,"September 01, 2012",15:00,10,"June 16, 2012 14:15","June 16, 2012 14:15"
2,2,"August 25, 2012",15:00,10,"June 16, 2012 14:14","June 16, 2012 14:14"
1,1,"August 18, 2012",15:00,10,"June 16, 2012 14:13","June 16, 2012 14:14"
